Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
11.74,0,0.0849265224681220459423585081,0.084926522468122,0.084926522468122,0.084926522468122,0.084926522468122,0,0.0000000,0.0000000,0,8.957380922472409300262254139,68.162238077430056700475826909,71.767206665584181922254891589,996007400
11.75,0,0.0849029372835849090119134003,0.0849029372835849,0.0849029372835849,0.0849029372835849,0.0849029372835849,0,0.0000000,0.0000000,0,8.954116957755744905812358551,68.153800989898425730839750608,71.761671796071946787081510873,996855800
11.76,0,0.0848793963435932623566270613,0.0848793963435933,0.0848793963435933,0.0848793963435933,0.0848793963435933,0,0.0000000,0.0000000,0,8.950854669039255172419786695,68.145379527755757437385472989,71.756148402874351257973067293,997704300
11.77,0,0.0848558984423037114507130487,0.0848558984423037,0.0848558984423037,0.0848558984423037,0.0848558984423037,0,0.0000000,0.0000000,0,8.947595026180348693220498024,68.136969190435913623490487268,71.750633211314452261683649149,998552600
11.78,0,0.0848324596921522512502644006,0.0848324596921522,0.0848324596921522,0.0848324596921522,0.0848324596921522,0,0.0000000,0.0000000,0,8.944336338069963385307429193,68.128561908133118046668209704,71.745121730947696607262904316,999401000
11.79,0,0.0848090589255307374403563435,0.0848090589255307,0.0848090589255307,0.0848090589255307,0.0848090589255307,0,0.0000000,0.0000000,0,8.941080639186226193902585259,68.120164011895433525632620791,71.739617204195143731372577945,1000249000
11.80,0,0.0847857103539918266480433285,0.0847857103539918,0.0847857103539918,0.0847857103539918,0.0847857103539918,0,0.0000000,0.0000000,0,8.937826032118270388184948476,68.111765214100724316618777813,71.734113802288395274274445359,1001098000
11.81,0,0.0847624102471494682563445034,0.0847624102471495,0.0847624102471495,0.0847624102471495,0.0847624102471495,0,0.0000000,0.0000000,0,8.934574168245941533161409899,68.103380749616019444593163384,71.728620633026429139685310954,1001946000
11.82,0,0.0847391597686068905999517063,0.0847391597686069,0.0847391597686069,0.0847391597686069,0.0847391597686069,0,0.0000000,0.0000000,0,8.931323778919181574053974584,68.09499302417344200708402558,71.723126926764374168442467788,1002794000
11.83,0,0.0847159475244407539706205324,0.0847159475244408,0.0847159475244408,0.0847159475244408,0.0847159475244408,0,0.0000000,0.0000000,0,8.928075533112083456084647586,68.086617570047060031485026793,71.717642379788845452061146902,1003643000
11.84,0,0.0846927894775299301936217883,0.0846927894775299,0.0846927894775299,0.0846927894775299,0.0846927894775299,0,0.0000000,0.0000000,0,8.924829513773975744260319959,68.078248786940343548925283794,71.712163368560525848061526616,1004491000
11.85,0,0.0846696706481506004637753466,0.0846696706481506,0.0846696706481506,0.0846696706481506,0.0846696706481506,0,0.0000000,0.0000000,0,8.92158556843656838380299676,68.069862960335210392400164384,71.706674743509529268723829377,1005340000
11.86,0,0.0846466121232961333413951734,0.0846466121232961,0.0846466121232961,0.0846466121232961,0.0846466121232961,0,0.0000000,0.0000000,0,8.918343323798666967848637444,68.061500940358626853674026805,71.701202868035465570057432524,1006188000
11.87,0,0.0846235902232022711883795647,0.0846235902232023,0.0846235902232023,0.0846235902232023,0.0846235902232023,0,0.0000000,0.0000000,0,8.915103424931484765576224265,68.053147801486876135145981076,71.695737906577274610613639703,1007036000
11.88,0,0.0846006184520142648416467255,0.0846006184520143,0.0846006184520143,0.0846006184520143,0.0846006184520143,0,0.0000000,0.0000000,0,8.911865310442206694078693879,68.044797948627227070422801892,71.69027650166771557611054975,1007885000
11.89,0,0.0845776937575786412025962395,0.0845776937575786,0.0845776937575786,0.0845776937575786,0.0845776937575786,0,0.0000000,0.0000000,0,8.90862944385778502253502854,68.036456599184314079699671001,71.684821814368761795111904584,1008733000
11.90,0,0.0845548072390935484864298632,0.0845548072390936,0.0845548072390936,0.0845548072390936,0.0845548072390936,0,0.0000000,0.0000000,0,8.905395732251373991995142105,68.028119618777269707087543554,71.679371232887271414815811223,1009582000
11.91,0,0.0845319740208521959252712973,0.0845319740208522,0.0845319740208522,0.0845319740208522,0.0845319740208522,0,0.0000000,0.0000000,0,8.902163833332031223724062429,68.019786214102373649737339776,71.673924391534550663199480865,1010430000
11.92,0,0.0845091902976377765019973839,0.0845091902976378,0.0845091902976378,0.0845091902976378,0.0845091902976378,0,0.0000000,0.0000000,0,8.898934142289349310857748966,68.011441829992860780192600734,71.668471791957507113281483273,1011278000
11.93,0,0.0844864416090559692477230682,0.084486441609056,0.084486441609056,0.084486441609056,0.084486441609056,0,0.0000000,0.0000000,0,8.895706395423596170489138373,68.003119910403355834561725231,71.663035004332413948723091481,1012127000
11.94,0,0.0844637490482082298627367867,0.0844637490482082,0.0844637490482082,0.0844637490482082,0.0844637490482082,0,0.0000000,0.0000000,0,8.892480596627837747840235703,67.994802836379519328041294238,71.657602725247186667475833152,1012975000
11.95,0,0.0844410985332121696677164319,0.0844410985332122,0.0844410985332122,0.0844410985332122,0.0844410985332122,0,0.0000000,0.0000000,0,8.889256824742554283960954813,67.986488676981535588166000097,71.652173686246314036319996862,1013824000
11.96,0,0.0844184941976765918589669818,0.0844184941976766,0.0844184941976766,0.0844184941976766,0.0844184941976766,0,0.0000000,0.0000000,0,8.886035610903646371987255156,67.9781829014207550924638185,71.646751180445747331540392148,1014672000
11.97,0,0.0843959322651071357588340818,0.0843959322651071,0.0843959322651071,0.0843959322651071,0.0843959322651071,0,0.0000000,0.0000000,0,8.882816538706373309227187392,67.969890271222281861542689801,71.641338437663913857273159173,1015520000
11.98,0,0.0843734134701938733606394426,0.0843734134701939,0.0843734134701939,0.0843734134701939,0.0843734134701939,0,0.0000000,0.0000000,0,8.879599465897460984644619769,67.961596487591297707968118012,71.635926344253192119309246854,1016369000
11.99,0,0.0843509516225078319028009804,0.0843509516225078,0.0843509516225078,0.0843509516225078,0.0843509516225078,0,0.0000000,0.0000000,0,8.876384094524888019504580149,67.95330676814166867488728647,71.630518374631413751142622756,1017217000
12.00,0,0.0843285208423916339555755896,0.0843285208423916,0.0843285208423916,0.0843285208423916,0.0843285208423916,0,0.0000000,0.0000000,0,8.873170983106607654856982383,67.945002760958622997716424783,71.625102523818958294992022446,1018066000
12.01,0,0.0843061429463428293999566755,0.0843061429463428,0.0843061429463428,0.0843061429463428,0.0843061429463428,0,0.0000000,0.0000000,0,8.869960330186869159880808728,67.936729597387008912652580341,71.619707673308774846118867923,1018914000
12.02,0,0.0842838066187666917682645921,0.0842838066187667,0.0842838066187667,0.0842838066187667,0.0842838066187667,0,0.0000000,0.0000000,0,8.866751353033761479798064238,67.928452316623465346540658835,71.614311715957357458279039057,1019762000
